patch_slug,patch_name,source_url,source_kind,item_index,item_type,section_h2,section_h3,section_h4,text
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,12,h2,CRAFTING,,,CRAFTING
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,13,p,CRAFTING,,,"Breakout brings a complete rework to Crafting, streamlining the system. Welcome to Crafting 2.0, legends!"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,14,p,CRAFTING,,,"Replicators have quite a few changes, including a fancy new paint job. They are now free to use, and no longer require crafting materials—we’ve removed them and crafting rotations. When you open the crafting menu, you’ll see that the available options have been reduced: Shield Battery, Medkit, Ammo, and Player Banners. Printing any item will exhaust that replicator specifically for you. You’ll need to find another one if you want another item, so choose wisely."
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,15,p,CRAFTING,,,"To offset the single-use system, the number of available Replicators have been increased across the board. Every game will start with 12 Replicators spawned at the start of the match, with an additional Replicator airdrop at the start of Round 4 to add some late-game opportunities. We’re also including a few quality of life changes for Crafting:"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,16,li,CRAFTING,,,Decreased interaction time with Replicators
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,17,li,CRAFTING,,,Inventory can now be accessed from the crafting menu
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,18,li,CRAFTING,,,Printed items left alone will auto-eject from the Replicator after some time
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,19,h2,WORLD’S EDGE: RAMPART’S BIG MAUDE,,,WORLD’S EDGE: RAMPART’S BIG MAUDE
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,20,p,WORLD’S EDGE: RAMPART’S BIG MAUDE,,,"With crafting materials gone, Rampart has been figuring out how to get more customers through her door, and what better way than with a Fire Sale!"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,21,p,WORLD’S EDGE: RAMPART’S BIG MAUDE,,,"All Big Maude paintball weapons are now free, but they will take time to dispense from their vending machines. Once a player has claimed their free weapon, they cannot get another. Loba will still be able to steal a second gun with her Black Market. There is also an increased variety of weapons to choose from, but gold kitted weapons are no longer offered at Big Maude."
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,22,h2,LEGEND UPGRADES,,,LEGEND UPGRADES
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,24,p,LEGEND UPGRADES,,,"This season we’re introducing the Legend Upgrade system for BR modes—an in-match progression system that deepens the Apex Legends experience by allowing you to tailor your Legend to your playstyle. Players will gain EVO points in a variety of new ways across the Battle Royale to level-up not just your armor, but your Legend—unlocking unique ability upgrades at Levels 2 and 3. With each match being a fresh start, the plethora of possibilities adds a new level of strategy and meta."
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,25,p,LEGEND UPGRADES,,,Check out our Breakout Highlights blog for the full breakdown on Legend Upgrades.
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,26,h2,PATCH NOTES,,,PATCH NOTES
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,27,li,PATCH NOTES,,,Added Tags: a 3-4 character piece of flair ahead of players’ usernames that appear everywhere usernames do Clubs are being retired—check out the Highlights blog for more details
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,28,li,PATCH NOTES,,,Clubs are being retired—check out the Highlights blog for more details
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,29,li,PATCH NOTES,,,Events moved into a dedicated tab in the Lobby (out of Seasonal tab)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,30,h3,PATCH NOTES,BALANCE UPDATES,,BALANCE UPDATES
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,31,p,PATCH NOTES,BALANCE UPDATES,,Crafting 2.0
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,32,li,PATCH NOTES,BALANCE UPDATES,,"Crafting Rotation is no more, all weapons and loot are back on the floor"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,33,li,PATCH NOTES,BALANCE UPDATES,,"Crafting options reduced to Shield Battery, Medkit, Ammo, and Player Banners"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,34,li,PATCH NOTES,BALANCE UPDATES,,Inventory can now be accessed from the Crafting menu
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,35,li,PATCH NOTES,BALANCE UPDATES,,"Rampart’s Big Maude All paintball weapons are now free, dispense time increased Increased variety of weapons, but gold kitted weapons no longer offered One free weapon per player, per match (Loba can steal a second with Black Market)"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,36,li,PATCH NOTES,BALANCE UPDATES,,"All paintball weapons are now free, dispense time increased"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,37,li,PATCH NOTES,BALANCE UPDATES,,"Increased variety of weapons, but gold kitted weapons no longer offered"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,38,li,PATCH NOTES,BALANCE UPDATES,,"One free weapon per player, per match (Loba can steal a second with Black Market)"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,39,li,PATCH NOTES,BALANCE UPDATES,,"Replicators Each individual Replicator is now single-use per player, per match Every game will start with 12 spawned Decreased interaction time with instant printing Printed items left alone will auto-eject from the Replicator after some time"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,40,li,PATCH NOTES,BALANCE UPDATES,,"Each individual Replicator is now single-use per player, per match"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,41,li,PATCH NOTES,BALANCE UPDATES,,Every game will start with 12 spawned
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,42,li,PATCH NOTES,BALANCE UPDATES,,Decreased interaction time with instant printing
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,43,li,PATCH NOTES,BALANCE UPDATES,,Printed items left alone will auto-eject from the Replicator after some time
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,44,p,PATCH NOTES,BALANCE UPDATES,,Care Package Weapon Rotation
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,45,li,PATCH NOTES,BALANCE UPDATES,,EVA-8 enters the Care Package
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,46,li,PATCH NOTES,BALANCE UPDATES,,Prowler returns to the floor
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,47,p,PATCH NOTES,BALANCE UPDATES,,Gold Weapons Rotation
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,48,li,PATCH NOTES,BALANCE UPDATES,,"R-301, RE-45, Mastiff, Devotion, 30-30"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,49,h3,PATCH NOTES,WEAPONS & ATTACHMENTS,,WEAPONS & ATTACHMENTS
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,50,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,30-30
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,51,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Base damage reduced to 39 (was 42)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,52,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Ammo capacity Base capacity unchanged (6) White Magazine reduced to 7 (was 8) Blue Magazine reduced to 8 (was 10) Purple & Gold Magazine reduced to 10 (was 12)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,53,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Base capacity unchanged (6)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,54,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,White Magazine reduced to 7 (was 8)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,55,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Blue Magazine reduced to 8 (was 10)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,56,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Purple & Gold Magazine reduced to 10 (was 12)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,57,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Skullpiercer headshot multiplier reduced to 2.0 (was 2.1)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,58,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,"Dual Loader removed as an integrated Hop-Up, now only loads 1 shell per reload"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,59,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Marksman Stock reload speed bonus normalized to match other sniper weapons
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,60,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Reloading 3 shells in a row now increases reload speed by 20% for the remainder of the reload
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,61,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,EVA-8 [Care Package]
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,62,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Damage reduced to 6 (was 7)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,63,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Fire rate increased to 3 (was 2.4)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,64,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Recoil reduced to better match the much faster fire rate
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,65,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Hammer Points: 20% damage increase against flesh (+1 damage)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,66,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Gold Shotgun Bolt: shells reloaded on slide increased to 2 (was 1) Note: this change only affects the Care Package EVA-8
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,67,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Note: this change only affects the Care Package EVA-8
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,68,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,Hemlock
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,69,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Damage reduced to 20 (was 21)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,70,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Hipfire spread increased
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,71,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Spread delay increased to 0.28 (was 0.21)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,72,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,L-Star
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,73,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Can no longer equip Barrel Attachments
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,74,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,Prowler [Floor]
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,75,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Reverted to non-Care Package version Damage decreased to 15 (was 16) Select Fire Hop-Up removed
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,76,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Damage decreased to 15 (was 16)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,77,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Select Fire Hop-Up removed
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,78,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Burst delay increased to 0.28 (was 0.24)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,79,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Spread delay increased to 0.28 (was 0.15)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,80,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,R-99
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,81,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,ADS vertical and horizontal recoil increased
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,82,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,R-301
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,83,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Hipfire spread reduced
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,84,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,SMG Ballistics
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,85,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Projectile gravity increased across all SMGs
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,86,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Projectile launch speed reduced across most SMGs (Prowler unchanged)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,87,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,1x Digital Threat
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,88,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Can no longer be equipped to SMGs
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,89,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Spawn rates reduced by 20%
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,90,p,PATCH NOTES,WEAPONS & ATTACHMENTS,,Laser Sights
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,91,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Spread multipliers reduced White Laser Sight adjusted to x0.9 (was x0.8) Blue Laser Sight adjusted to x0.8 (was x0.6) Purple Laser Sight adjusted to x0.7 (was x0.4)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,92,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,White Laser Sight adjusted to x0.9 (was x0.8)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,93,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Blue Laser Sight adjusted to x0.8 (was x0.6)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,94,li,PATCH NOTES,WEAPONS & ATTACHMENTS,,Purple Laser Sight adjusted to x0.7 (was x0.4)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,95,h3,PATCH NOTES,LEGENDS,,LEGENDS
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,96,p,PATCH NOTES,LEGENDS,,"Heavy-Rig Legends (Gibraltar, Caustic, Pathfinder, Newcastle, Revenant)"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,97,li,PATCH NOTES,LEGENDS,,Now use medium-rig first-person movement animations
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,98,li,PATCH NOTES,LEGENDS,,"Actual game speeds have not changed, these Legends will feel less sluggish when running"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,99,p,PATCH NOTES,LEGENDS,,Support Legends
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,100,li,PATCH NOTES,LEGENDS,,Extended Supply Bin contents have been improved (see below)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,101,p,PATCH NOTES,LEGENDS,,Ballistic
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,102,li,PATCH NOTES,LEGENDS,,Sling: Sling Weapons now have all White attachments while equipped
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,103,li,PATCH NOTES,LEGENDS,,Tempest: effect radius for ally range has been increased to 90m (was 13m)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,104,p,PATCH NOTES,LEGENDS,,Bloodhound
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,105,li,PATCH NOTES,LEGENDS,,Tracker: Raven scan’s Ult Charge is now gated behind the Hunting Ravens upgrade
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,106,p,PATCH NOTES,LEGENDS,,Catalyst
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,107,li,PATCH NOTES,LEGENDS,,Dark Veil: lifetime decreased to 15s (was 25s) length decreased to 40m (was 55m)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,108,li,PATCH NOTES,LEGENDS,,lifetime decreased to 15s (was 25s)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,109,li,PATCH NOTES,LEGENDS,,length decreased to 40m (was 55m)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,110,p,PATCH NOTES,LEGENDS,,Conduit
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,111,li,PATCH NOTES,LEGENDS,,Radiant Flash Cooldown increased to 26s (was 21s) Temporary Shield generation rate decreased to 15HP/s (was 20HP/s) Temporary Shield generation time increased to 9s (was 8s)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,112,li,PATCH NOTES,LEGENDS,,Cooldown increased to 26s (was 21s)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,113,li,PATCH NOTES,LEGENDS,,Temporary Shield generation rate decreased to 15HP/s (was 20HP/s)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,114,li,PATCH NOTES,LEGENDS,,Temporary Shield generation time increased to 9s (was 8s)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,115,li,PATCH NOTES,LEGENDS,,Energy Barricade Mine duration reduced to 45s (was 60s) Mine HP reduced to 200HP (was 250HP) The distance at which mines are removed when deployed too close to one another has been increased by ~100%
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,116,li,PATCH NOTES,LEGENDS,,Mine duration reduced to 45s (was 60s)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,117,li,PATCH NOTES,LEGENDS,,Mine HP reduced to 200HP (was 250HP)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,118,li,PATCH NOTES,LEGENDS,,The distance at which mines are removed when deployed too close to one another has been increased by ~100%
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,119,p,PATCH NOTES,LEGENDS,,Crypto
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,120,li,PATCH NOTES,LEGENDS,,Surveillance Drone Speed of drone recall has been increased slightly Transitions going in and out of drone are now faster
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,121,li,PATCH NOTES,LEGENDS,,Speed of drone recall has been increased slightly
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,122,li,PATCH NOTES,LEGENDS,,Transitions going in and out of drone are now faster
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,123,p,PATCH NOTES,LEGENDS,,Horizon
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,124,li,PATCH NOTES,LEGENDS,,Gravity Lift: cooldown increased to 25s (was 20s)
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,125,p,PATCH NOTES,LEGENDS,,Lifeline
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,126,li,PATCH NOTES,LEGENDS,,"In modes with Legend Upgrades, Lifeline's Care Package now has a 50/50 chance to drop an extra piece of smart equipment (vs. large consumable) instead of an Armor"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,127,p,PATCH NOTES,LEGENDS,,Mad Maggie
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,128,li,PATCH NOTES,LEGENDS,,"Wrecking Ball Will no longer be destroyed on first enemy hit Instead, the Wrecking Ball will trigger an explosion then keep going, allowing for a second explosion to trigger later The same player cannot be hit again by the ball for 2s after first impact Players can only be affected by the shellshock and knockback effects once Will now bounce through devices it hits and destroys"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,129,li,PATCH NOTES,LEGENDS,,"Will no longer be destroyed on first enemy hit Instead, the Wrecking Ball will trigger an explosion then keep going, allowing for a second explosion to trigger later The same player cannot be hit again by the ball for 2s after first impact Players can only be affected by the shellshock and knockback effects once"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,130,li,PATCH NOTES,LEGENDS,,"Instead, the Wrecking Ball will trigger an explosion then keep going, allowing for a second explosion to trigger later"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,131,li,PATCH NOTES,LEGENDS,,The same player cannot be hit again by the ball for 2s after first impact
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,132,li,PATCH NOTES,LEGENDS,,Players can only be affected by the shellshock and knockback effects once
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,133,li,PATCH NOTES,LEGENDS,,Will now bounce through devices it hits and destroys
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,134,p,PATCH NOTES,LEGENDS,,Octane
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,135,li,PATCH NOTES,LEGENDS,,Jump Pad: audio falloff of double-jump has been adjusted to be slightly less audible from long distances
